QuestionID;Question;Answer;Topic;Year;Difficulty;Explanation
1;What is 41 + 8?;49;Addition;Primary;Easy;Add 41 and 8 to get 49.
2;What is 2 + 48?;50;Addition;Primary;Easy;Add 2 and 48 to get 50.
3;What is 18 + 16?;34;Addition;Primary;Easy;Add 18 and 16 to get 34.
4;What is 15 + 9?;24;Addition;Primary;Easy;Add 15 and 9 to get 24.
5;What is 48 + 7?;55;Addition;Primary;Easy;Add 48 and 7 to get 55.
6;What is 44 + 48?;92;Addition;Primary;Easy;Add 44 and 48 to get 92.
7;What is 35 + 6?;41;Addition;Primary;Easy;Add 35 and 6 to get 41.
8;What is 38 + 28?;66;Addition;Primary;Easy;Add 38 and 28 to get 66.
9;What is 3 + 2?;5;Addition;Primary;Easy;Add 3 and 2 to get 5.
10;What is 6 + 14?;20;Addition;Primary;Easy;Add 6 and 14 to get 20.
11;What is 15 + 33?;48;Addition;Primary;Medium;Add 15 and 33 to get 48.
12;What is 39 + 2?;41;Addition;Primary;Medium;Add 39 and 2 to get 41.
13;What is 36 + 13?;49;Addition;Primary;Medium;Add 36 and 13 to get 49.
14;What is 46 + 42?;88;Addition;Primary;Medium;Add 46 and 42 to get 88.
15;What is 45 + 35?;80;Addition;Primary;Medium;Add 45 and 35 to get 80.
16;What is 27 + 15?;42;Addition;Primary;Medium;Add 27 and 15 to get 42.
17;What is 29 + 38?;67;Addition;Primary;Medium;Add 29 and 38 to get 67.
18;What is 18 + 1?;19;Addition;Primary;Medium;Add 18 and 1 to get 19.
19;What is 49 + 11?;60;Addition;Primary;Medium;Add 49 and 11 to get 60.
20;What is 45 + 28?;73;Addition;Primary;Medium;Add 45 and 28 to get 73.
21;What is 22 + 18?;40;Addition;Primary;Medium;Add 22 and 18 to get 40.
22;What is 10 + 14?;24;Addition;Primary;Medium;Add 10 and 14 to get 24.
23;What is 49 + 22?;71;Addition;Primary;Medium;Add 49 and 22 to get 71.
24;What is 7 + 6?;13;Addition;Primary;Medium;Add 7 and 6 to get 13.
25;What is 25 + 7?;32;Addition;Primary;Medium;Add 25 and 7 to get 32.
26;What is 23 + 23?;46;Addition;Primary;Medium;Add 23 and 23 to get 46.
27;What is 39 + 17?;56;Addition;Primary;Medium;Add 39 and 17 to get 56.
28;What is 3 + 47?;50;Addition;Primary;Medium;Add 3 and 47 to get 50.
29;What is 30 + 35?;65;Addition;Primary;Medium;Add 30 and 35 to get 65.
30;What is 8 + 25?;33;Addition;Primary;Medium;Add 8 and 25 to get 33.
31;What is 6 + 36?;42;Addition;Primary;Hard;Add 6 and 36 to get 42.
32;What is 19 + 41?;60;Addition;Primary;Hard;Add 19 and 41 to get 60.
33;What is 40 + 24?;64;Addition;Primary;Hard;Add 40 and 24 to get 64.
34;What is 37 + 13?;50;Addition;Primary;Hard;Add 37 and 13 to get 50.
35;What is 46 + 5?;51;Addition;Primary;Hard;Add 46 and 5 to get 51.
36;What is 3 + 43?;46;Addition;Primary;Hard;Add 3 and 43 to get 46.
37;What is 15 + 50?;65;Addition;Primary;Hard;Add 15 and 50 to get 65.
38;What is 19 + 6?;25;Addition;Primary;Hard;Add 19 and 6 to get 25.
39;What is 15 + 7?;22;Addition;Primary;Hard;Add 15 and 7 to get 22.
40;What is 25 + 18?;43;Addition;Primary;Hard;Add 25 and 18 to get 43.
41;What is 30 + 41?;71;Addition;Primary;Hard;Add 30 and 41 to get 71.
42;What is 24 + 11?;35;Addition;Primary;Hard;Add 24 and 11 to get 35.
43;What is 24 + 23?;47;Addition;Primary;Hard;Add 24 and 23 to get 47.
44;What is 14 + 43?;57;Addition;Primary;Hard;Add 14 and 43 to get 57.
45;What is 18 + 45?;63;Addition;Primary;Hard;Add 18 and 45 to get 63.
46;What is 44 + 42?;86;Addition;Primary;Hard;Add 44 and 42 to get 86.
47;What is 5 + 39?;44;Addition;Primary;Hard;Add 5 and 39 to get 44.
48;What is 41 + 11?;52;Addition;Primary;Hard;Add 41 and 11 to get 52.
49;What is 35 + 47?;82;Addition;Primary;Hard;Add 35 and 47 to get 82.
50;What is 16 + 11?;27;Addition;Primary;Hard;Add 16 and 11 to get 27.
51;What is 69 - 25?;44;Subtraction;Primary;Easy;Subtract 25 from 69 to get 44.
52;What is 44 - 41?;3;Subtraction;Primary;Easy;Subtract 41 from 44 to get 3.
53;What is 98 - 36?;62;Subtraction;Primary;Easy;Subtract 36 from 98 to get 62.
54;What is 38 - 44?;-6;Subtraction;Primary;Easy;Subtract 44 from 38 to get -6.
55;What is 51 - 50?;1;Subtraction;Primary;Easy;Subtract 50 from 51 to get 1.
56;What is 17 - 15?;2;Subtraction;Primary;Easy;Subtract 15 from 17 to get 2.
57;What is 14 - 21?;-7;Subtraction;Primary;Easy;Subtract 21 from 14 to get -7.
58;What is 61 - 18?;43;Subtraction;Primary;Easy;Subtract 18 from 61 to get 43.
59;What is 18 - 14?;4;Subtraction;Primary;Easy;Subtract 14 from 18 to get 4.
60;What is 82 - 46?;36;Subtraction;Primary;Easy;Subtract 46 from 82 to get 36.
61;What is 50 - 14?;36;Subtraction;Primary;Medium;Subtract 14 from 50 to get 36.
62;What is 93 - 32?;61;Subtraction;Primary;Medium;Subtract 32 from 93 to get 61.
63;What is 60 - 42?;18;Subtraction;Primary;Medium;Subtract 42 from 60 to get 18.
64;What is 68 - 10?;58;Subtraction;Primary;Medium;Subtract 10 from 68 to get 58.
65;What is 43 - 9?;34;Subtraction;Primary;Medium;Subtract 9 from 43 to get 34.
66;What is 41 - 48?;-7;Subtraction;Primary;Medium;Subtract 48 from 41 to get -7.
67;What is 81 - 35?;46;Subtraction;Primary;Medium;Subtract 35 from 81 to get 46.
68;What is 43 - 48?;-5;Subtraction;Primary;Medium;Subtract 48 from 43 to get -5.
69;What is 84 - 28?;56;Subtraction;Primary;Medium;Subtract 28 from 84 to get 56.
70;What is 84 - 26?;58;Subtraction;Primary;Medium;Subtract 26 from 84 to get 58.
71;What is 56 - 15?;41;Subtraction;Primary;Medium;Subtract 15 from 56 to get 41.
72;What is 27 - 33?;-6;Subtraction;Primary;Medium;Subtract 33 from 27 to get -6.
73;What is 73 - 6?;67;Subtraction;Primary;Medium;Subtract 6 from 73 to get 67.
74;What is 16 - 8?;8;Subtraction;Primary;Medium;Subtract 8 from 16 to get 8.
75;What is 29 - 41?;-12;Subtraction;Primary;Medium;Subtract 41 from 29 to get -12.
76;What is 30 - 44?;-14;Subtraction;Primary;Medium;Subtract 44 from 30 to get -14.
77;What is 64 - 39?;25;Subtraction;Primary;Medium;Subtract 39 from 64 to get 25.
78;What is 18 - 25?;-7;Subtraction;Primary;Medium;Subtract 25 from 18 to get -7.
79;What is 58 - 39?;19;Subtraction;Primary;Medium;Subtract 39 from 58 to get 19.
80;What is 69 - 34?;35;Subtraction;Primary;Medium;Subtract 34 from 69 to get 35.
81;What is 42 - 36?;6;Subtraction;Primary;Hard;Subtract 36 from 42 to get 6.
82;What is 11 - 44?;-33;Subtraction;Primary;Hard;Subtract 44 from 11 to get -33.
83;What is 24 - 44?;-20;Subtraction;Primary;Hard;Subtract 44 from 24 to get -20.
84;What is 78 - 49?;29;Subtraction;Primary;Hard;Subtract 49 from 78 to get 29.
85;What is 44 - 50?;-6;Subtraction;Primary;Hard;Subtract 50 from 44 to get -6.
86;What is 92 - 22?;70;Subtraction;Primary;Hard;Subtract 22 from 92 to get 70.
87;What is 24 - 19?;5;Subtraction;Primary;Hard;Subtract 19 from 24 to get 5.
88;What is 65 - 11?;54;Subtraction;Primary;Hard;Subtract 11 from 65 to get 54.
89;What is 68 - 1?;67;Subtraction;Primary;Hard;Subtract 1 from 68 to get 67.
90;What is 43 - 33?;10;Subtraction;Primary;Hard;Subtract 33 from 43 to get 10.
91;What is 32 - 33?;-1;Subtraction;Primary;Hard;Subtract 33 from 32 to get -1.
92;What is 41 - 23?;18;Subtraction;Primary;Hard;Subtract 41 from 23 to get -18.
93;What is 48 - 41?;7;Subtraction;Primary;Hard;Subtract 41 from 48 to get 7.
94;What is 74 - 39?;35;Subtraction;Primary;Hard;Subtract 39 from 74 to get 35.
95;What is 35 - 10?;25;Subtraction;Primary;Hard;Subtract 10 from 35 to get 25.
96;What is 57 - 49?;8;Subtraction;Primary;Hard;Subtract 49 from 57 to get 8.
97;What is 35 - 30?;5;Subtraction;Primary;Hard;Subtract 35 from 30 to get -5.
98;What is 77 - 1?;76;Subtraction;Primary;Hard;Subtract 1 from 77 to get 76.
99;What is 86 - 21?;65;Subtraction;Primary;Hard;Subtract 21 from 86 to get 65.
100;What is 72 - 2?;70;Subtraction;Primary;Hard;Subtract 2 from 72 to get 70.
101;What is 4 * 12?;48;Multiplication;Primary;Easy;Multiply 4 and 12 to get 48.
102;What is 10 * 8?;80;Multiplication;Primary;Easy;Multiply 10 and 8 to get 80.
103;What is 2 * 8?;16;Multiplication;Primary;Easy;Multiply 2 and 8 to get 16.
104;What is 19 * 3?;57;Multiplication;Primary;Easy;Multiply 19 and 3 to get 57.
105;What is 3 * 16?;48;Multiplication;Primary;Easy;Multiply 3 and 16 to get 48.
106;What is 3 * 18?;54;Multiplication;Primary;Easy;Multiply 3 and 18 to get 54.
107;What is 5 * 5?;25;Multiplication;Primary;Easy;Multiply 5 and 5 to get 25.
108;What is 16 * 18?;288;Multiplication;Primary;Easy;Multiply 16 and 18 to get 288.
109;What is 6 * 9?;54;Multiplication;Primary;Easy;Multiply 6 and 9 to get 54.
110;What is 17 * 20?;340;Multiplication;Primary;Easy;Multiply 17 and 20 to get 340.
111;What is 14 * 7?;98;Multiplication;Primary;Medium;Multiply 14 and 7 to get 98.
112;What is 18 * 7?;126;Multiplication;Primary;Medium;Multiply 18 and 7 to get 126.
113;What is 10 * 13?;130;Multiplication;Primary;Medium;Multiply 10 and 13 to get 130.
114;What is 12 * 15?;180;Multiplication;Primary;Medium;Multiply 12 and 15 to get 180.
115;What is 17 * 15?;255;Multiplication;Primary;Medium;Multiply 17 and 15 to get 255.
116;What is 4 * 8?;32;Multiplication;Primary;Medium;Multiply 4 and 8 to get 32.
117;What is 8 * 3?;24;Multiplication;Primary;Medium;Multiply 8 and 3 to get 24.
118;What is 11 * 1?;11;Multiplication;Primary;Medium;Multiply 11 and 1 to get 11.
119;What is 19 * 18?;342;Multiplication;Primary;Medium;Multiply 19 and 18 to get 342.
120;What is 8 * 19?;152;Multiplication;Primary;Medium;Multiply 8 and 19 to get 152.
121;What is 8 * 1?;8;Multiplication;Primary;Medium;Multiply 8 and 1 to get 8.
122;What is 3 * 2?;6;Multiplication;Primary;Medium;Multiply 3 and 2 to get 6.
123;What is 8 * 3?;24;Multiplication;Primary;Medium;Multiply 8 and 3 to get 24.
124;What is 2 * 11?;22;Multiplication;Primary;Medium;Multiply 2 and 11 to get 22.
125;What is 3 * 17?;51;Multiplication;Primary;Medium;Multiply 3 and 17 to get 51.
126;What is 8 * 9?;72;Multiplication;Primary;Medium;Multiply 8 and 9 to get 72.
127;What is 16 * 7?;112;Multiplication;Primary;Medium;Multiply 16 and 7 to get 112.
128;What is 18 * 5?;90;Multiplication;Primary;Medium;Multiply 18 and 5 to get 90.
129;What is 19 * 19?;361;Multiplication;Primary;Medium;Multiply 19 and 19 to get 361.
130;What is 16 * 8?;128;Multiplication;Primary;Medium;Multiply 16 and 8 to get 128.
131;What is 16 * 14?;224;Multiplication;Primary;Hard;Multiply 16 and 14 to get 224.
132;What is 7 * 4?;28;Multiplication;Primary;Hard;Multiply 7 and 4 to get 28.
133;What is 4 * 14?;56;Multiplication;Primary;Hard;Multiply 4 and 14 to get 56.
134;What is 12 * 14?;168;Multiplication;Primary;Hard;Multiply 12 and 14 to get 168.
135;What is 14 * 15?;210;Multiplication;Primary;Hard;Multiply 14 and 15 to get 210.
136;What is 2 * 4?;8;Multiplication;Primary;Hard;Multiply 2 and 4 to get 8.
137;What is 2 * 13?;26;Multiplication;Primary;Hard;Multiply 2 and 13 to get 26.
138;What is 11 * 4?;44;Multiplication;Primary;Hard;Multiply 11 and 4 to get 44.
139;What is 8 * 7?;56;Multiplication;Primary;Hard;Multiply 8 and 7 to get 56.
140;What is 7 * 18?;126;Multiplication;Primary;Hard;Multiply 7 and 18 to get 126.
141;What is 15 * 5?;75;Multiplication;Primary;Hard;Multiply 15 and 5 to get 75.
142;What is 14 * 6?;84;Multiplication;Primary;Hard;Multiply 14 and 6 to get 84.
143;What is 9 * 15?;135;Multiplication;Primary;Hard;Multiply 9 and 15 to get 135.
144;What is 8 * 3?;24;Multiplication;Primary;Hard;Multiply 8 and 3 to get 24.
145;What is 15 * 18?;270;Multiplication;Primary;Hard;Multiply 15 and 18 to get 270.
146;What is 4 * 2?;8;Multiplication;Primary;Hard;Multiply 4 and 2 to get 8.
147;What is 18 * 1?;18;Multiplication;Primary;Hard;Multiply 18 and 1 to get 18.
148;What is 3 * 8?;24;Multiplication;Primary;Hard;Multiply 3 and 8 to get 24.
149;What is 6 * 14?;84;Multiplication;Primary;Hard;Multiply 6 and 14 to get 84.
150;What is 16 * 16?;256;Multiplication;Primary;Hard;Multiply 16 and 16 to get 256.
151;What is 37 / 7?;5;Division;Primary;Easy;Divide 37 by 7 to get 5.
152;What is 17 / 3?;5;Division;Primary;Easy;Divide 17 by 3 to get 5.
153;What is 58 / 1?;58;Division;Primary;Easy;Divide 58 by 1 to get 58.
154;What is 59 / 5?;11;Division;Primary;Easy;Divide 59 by 5 to get 11.
155;What is 68 / 5?;13;Division;Primary;Easy;Divide 68 by 5 to get 13.
156;What is 64 / 9?;7;Division;Primary;Easy;Divide 64 by 9 to get 7.
157;What is 94 / 8?;11;Division;Primary;Easy;Divide 94 by 8 to get 11.
158;What is 29 / 4?;7;Division;Primary;Easy;Divide 29 by 4 to get 7.
159;What is 47 / 4?;11;Division;Primary;Easy;Divide 47 by 4 to get 11.
160;What is 17 / 10?;1;Division;Primary;Easy;Divide 17 by 10 to get 1.
161;What is 79 / 1?;79;Division;Primary;Medium;Divide 79 by 1 to get 79.
162;What is 50 / 1?;50;Division;Primary;Medium;Divide 50 by 1 to get 50.
163;What is 16 / 10?;1;Division;Primary;Medium;Divide 16 by 10 to get 1.
164;What is 71 / 9?;7;Division;Primary;Medium;Divide 71 by 9 to get 7.
165;What is 77 / 3?;25;Division;Primary;Medium;Divide 77 by 3 to get 25.
166;What is 17 / 9?;1;Division;Primary;Medium;Divide 17 by 9 to get 1.
167;What is 20 / 3?;6;Division;Primary;Medium;Divide 20 by 3 to get 6.
168;What is 18 / 10?;1;Division;Primary;Medium;Divide 18 by 10 to get 1.
169;What is 18 / 4?;4;Division;Primary;Medium;Divide 18 by 4 to get 4.
170;What is 61 / 2?;30;Division;Primary;Medium;Divide 61 by 2 to get 30.
171;What is 82 / 4?;20;Division;Primary;Medium;Divide 82 by 4 to get 20.
172;What is 84 / 10?;8;Division;Primary;Medium;Divide 84 by 10 to get 8.
173;What is 15 / 10?;1;Division;Primary;Medium;Divide 15 by 10 to get 1.
174;What is 20 / 7?;2;Division;Primary;Medium;Divide 20 by 7 to get 2.
175;What is 94 / 10?;9;Division;Primary;Medium;Divide 94 by 10 to get 9.
176;What is 82 / 9?;9;Division;Primary;Medium;Divide 82 by 9 to get 9.
177;What is 50 / 5?;10;Division;Primary;Medium;Divide 50 by 5 to get 10.
178;What is 36 / 6?;6;Division;Primary;Medium;Divide 36 by 6 to get 6.
179;What is 40 / 5?;8;Division;Primary;Medium;Divide 40 by 5 to get 8.
180;What is 60 / 3?;20;Division;Primary;Medium;Divide 60 by 3 to get 20.
181;What is 95 / 5?;19;Division;Primary;Hard;Divide 95 by 5 to get 19.
182;What is 68 / 6?;11;Division;Primary;Hard;Divide 68 by 6 to get 11.
183;What is 19 / 1?;19;Division;Primary;Hard;Divide 19 by 1 to get 19.
184;What is 68 / 10?;6;Division;Primary;Hard;Divide 68 by 10 to get 6.
185;What is 82 / 2?;41;Division;Primary;Hard;Divide 82 by 2 to get 41.
186;What is 19 / 9?;2;Division;Primary;Hard;Divide 19 by 9 to get 2.
187;What is 37 / 9?;4;Division;Primary;Hard;Divide 37 by 9 to get 4.
188;What is 43 / 3?;14;Division;Primary;Hard;Divide 43 by 3 to get 14.
189;What is 54 / 2?;27;Division;Primary;Hard;Divide 54 by 2 to get 27.
190;What is 41 / 6?;6;Division;Primary;Hard;Divide 41 by 6 to get 6.
191;What is 46 / 3?;15;Division;Primary;Hard;Divide 46 by 3 to get 15.
192;What is 66 / 9?;7;Division;Primary;Hard;Divide 66 by 9 to get 7.
193;What is 100 / 5?;20;Division;Primary;Hard;Divide 100 by 5 to get 20.
194;What is 88 / 9?;9;Division;Primary;Hard;Divide 88 by 9 to get 9.
195;What is 11 / 9?;1;Division;Primary;Hard;Divide 11 by 9 to get 1.
196;What is 48 / 2?;24;Division;Primary;Hard;Divide 48 by 2 to get 24.
197;What is 27 / 5?;5;Division;Primary;Hard;Divide 27 by 5 to get 5.
198;What is 24 / 2?;12;Division;Primary;Hard;Divide 24 by 2 to get 12.
199;What is 80 / 3?;26;Division;Primary;Hard;Divide 80 by 3 to get 26.
200;What is 44 / 5?;8;Division;Primary;Hard;Divide 44 by 5 to get 8.
